pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,Launch fts,Rad,launch_speed_x,launch_speed_y,28.7
CH,2022-07-22,87.4,-1.17,6.91,"Judge, Aaron",592450,669330,home_run,hit_into_play,,,,,8,Aaron Judge homers (36) on a fly ball to center field.,R,R,R,BAL,NYY,X,,fly_ball,2,1,2022,-1.34,1.11,-0.05,2.44,,,,2,5,Top,80.49,15.68,,,668939,,,5.483533868,-126.997841,-6.860508175,-15.68119684,27.22496605,-18.97016277,3.94,1.86,465,113.5,25,87.4,2042,6.5,661072,669330,668939,663624,596059,602104,622761,669720,656775,623993,54,0.989,2.001,2,1,0,3,6,38,4,Changeup,2,4,4,2,5,2,5,2,Standard,Standard,219,-0.095,0.985,166.4666667,0.436332313,150.8700363,70.3518533,5.5
FF,2022-05-12,94.9,-1.35,6.59,"Judge, Aaron",592450,621114,home_run,hit_into_play,,,,,4,Aaron Judge homers (11) on a fly ball to left center field.,R,R,R,CWS,NYY,X,,fly_ball,3,2,2022,-0.09,1.36,-0.38,2.96,,,,0,7,Top,31.08,39.48,,,518735,,,2.768730735,-138.2157516,-7.024834203,-1.666162335,27.6615657,-13.39315017,4,1.87,456,114,25,96.3,2096,6.8,661519,621114,518735,547989,544725,660162,641313,572041,673357,641553,53.68,0.989,2.001,2,1,0,3,6,56,6,4-Seam Fastball,4,6,6,4,7,4,7,4,Infield shift,Standard,199,-0.078,0.923,167.2,0.436332313,151.534662,70.66177336,28.7
CU,2022-07-24,75.6,-2.55,6.14,"Judge, Aaron",592450,665152,home_run,hit_into_play,,,,,4,Aaron Judge homers (37) on a fly ball to left field.   DJ LeMahieu scores.,R,R,R,BAL,NYY,X,,fly_ball,1,1,2022,0.83,-1.13,-0.49,3.11,,518934,,2,3,Top,7.2,55.77,,,455139,,,2.801112975,-109.9630483,2.900232935,6.115487821,21.68032259,-42.11787662,3.96,1.87,456,111.1,31,75.1,2628,6.2,661056,665152,455139,663624,602104,663527,622761,669720,656775,641820,54.33,0.946,1.966,2,1,0,3,6,19,3,Curveball,0,1,1,0,3,0,3,0,Standard,Standard,46,-0.18,1.8,162.9466667,0.5410520681,139.6725544,83.92373751,5.5
FF,2022-05-01,93.9,1.25,5.99,"Judge, Aaron",592450,663738,home_run,hit_into_play,,,,,8,Aaron Judge homers (7) on a fly ball to center field.,R,R,L,KC,NYY,X,,fly_ball,1,0,2022,0.34,1.24,0.07,2.48,,,,1,1,Top,135.33,15.38,,,595956,,,-3.845505937,-136.5795283,-6.169782547,5.143045169,30.01788065,-15.43510788,4,1.86,453,113.5,27,94.8,1890,6.9,662691,663738,595956,467793,593160,656896,670032,643217,572191,664728,53.64,0.994,2.04,2,1,0,3,6,2,2,4-Seam Fastball,0,0,0,0,1,0,1,0,Standard,Strategic,161,-0.103,0.977,166.4666667,0.471238898,148.3228861,75.57428519,#DIV/0!
SI,2022-08-23,94.7,-2.2,6.5,"Judge, Aaron",592450,592836,home_run,hit_into_play,,,,,7,Aaron Judge homers (48) on a fly ball to left field.,R,R,R,NYY,NYM,X,,fly_ball,3,2,2022,-1.14,1.27,-0.63,2.13,,,,2,4,Bot,29.95,41.46,,,621512,,,6.617825649,-137.4993114,-8.542670672,-15.86702459,30.35256866,-14.28170158,3.95,1.84,453,115.9,26,94.5,2001,6.3,661237,592836,621512,624413,643446,683146,596019,592192,607043,516782,54.23,0.986,1.985,2,1,0,3,6,27,7,Sinker,0,0,0,0,0,1,1,0,Standard,Standard,216,0.142,0.982,169.9866667,0.4537856055,152.783004,74.51725001,26.9
SI,2022-09-04,94.4,-2.22,5.82,"Judge, Aaron",592450,542888,home_run,hit_into_play,,,,,4,Aaron Judge homers (53) on a fly ball to left field.,R,R,R,TB,NYY,X,,fly_ball,1,0,2022,-1.49,0.99,-0.61,2.81,,,,0,1,Top,,,,,542194,,,7.529878444,-137.2765299,-4.322126558,-20.56293393,31.61385929,-18.87211682,3.98,1.89,450,115.3,30,94.5,2250,6.5,661853,542888,542194,596847,670623,650490,670764,668227,642350,622534,54.04,0.977,2.025,2,1,0,3,6,1,2,Sinker,0,0,0,0,1,0,1,0,Strategic,Standard,219,-0.101,0.967,169.1066667,0.5235987756,146.4506693,84.55333333,57.4
CH,2022-07-29,81.4,1.83,5.44,"Judge, Aaron",592450,663460,home_run,hit_into_play,,,,,6,Aaron Judge homers (40) on a fly ball to left center field.   DJ LeMahieu scores.,R,R,L,NYY,KC,X,,fly_ball,2,0,2022,1.17,1.04,0.53,2.92,,,518934,1,3,Bot,55.27,30.95,,,669004,,,-5.191847464,-118.4604217,-1.042132707,12.0045254,22.67464727,-22.42958969,4,1.93,449,110.2,29,81.8,1820,6.5,661256,663460,669004,686469,593160,670032,672580,641531,664728,668472,53.96,0.986,2.056,2,1,0,3,6,21,3,Changeup,1,0,1,0,0,3,3,0,Standard,Standard,118,0.162,1.597,161.6266667,0.5061454831,141.3618679,78.35816289,45.6
SL,2022-07-16,86.4,-3.27,5.35,"Judge, Aaron",592450,672391,home_run,hit_into_play,,,,,8,Aaron Judge homers (33) on a fly ball to center field.   DJ LeMahieu scores.,R,R,R,NYY,BOS,X,,fly_ball,0,0,2022,0.83,0.15,-0.04,2.34,,,518934,0,6,Bot,92.46,22.24,,,543877,,,5.989367954,-125.8589767,-1.348687008,7.787368976,22.98949146,-30.49417774,3.92,1.89,444,108.5,26,86.6,2455,6.1,661259,672391,543877,614173,669023,646240,593428,657077,598265,680776,54.4,0.98,2.014,2,1,0,3,6,49,1,Slider,8,1,8,1,1,10,10,1,Standard,Standard,66,0.004,1.587,159.1333333,0.4537856055,143.0280926,69.75946183,57.4
SL,2022-09-18,87,-2.34,5.86,"Judge, Aaron",592450,606131,home_run,hit_into_play,,,,,5,Aaron Judge homers (59) on a fly ball to left center field.,R,R,R,MIL,NYY,X,,fly_ball,1,2,2022,0.14,-0.09,0.02,2.78,,,,2,7,Top,38.82,41.18,,,553882,,,5.314552834,-126.6613475,-1.08633634,0.5643848518,23.27930776,-33.18483564,3.99,1.92,443,110.3,30,86.6,2444,5.8,661162,606131,553882,669374,543939,649966,642715,592885,621438,592669,54.72,0.971,2.029,2,1,0,3,6,62,4,Slider,4,9,9,4,10,4,10,4,Infield shift,Standard,38,-0.016,1.029,161.7733333,0.5235987756,140.0998163,80.88666667,32.5
FF,2022-07-22,93.9,-0.99,6.91,"Judge, Aaron",592450,669330,home_run,hit_into_play,,,,,1,Aaron Judge homers (35) on a fly ball to center field.   Joey Gallo scores.    DJ LeMahieu scores.,R,R,R,BAL,NYY,X,,fly_ball,2,1,2022,-0.56,1.51,-0.51,3.65,,608336,518934,2,3,Top,79.4,28.51,,,668939,,,2.484172953,-136.667661,-6.070729046,-7.558520758,29.14920949,-12.15821051,3.94,1.86,436,108.6,26,94.2,2551,6.4,661072,669330,668939,663624,596059,602104,622761,669720,656775,623993,54.12,0.98,2.014,2,1,0,3,6,18,4,4-Seam Fastball,0,0,0,0,3,0,3,0,Standard,Standard,200,-0.289,2.62,159.28,0.4537856055,143.1599157,69.82375626,52.7
